version,0.022,,,,,,,,,,,,,Lavar,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_Vatten,P_Kalk,P_Dike,P_Kalkhällmark,P_Artrikt,P_Hällmark,P_naturahabitat
7161 Källa (Punkt),7161 Källa (Punkt),,Naturahabitat,7161,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7162 Källkärr,7162 Källkärr,,Naturahabitat,7162,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7210 Agkärr,7210 Agkärr,,Naturahabitat,7210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7220 Kalktuffkällor (Punkt),7220 Kalktuffkällor (Punkt),,Naturahabitat,7220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7230 Rikkärr,7230 Rikkärr,,Naturahabitat,7230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7234 Källa i rikkärr (Punkt),7234 Källa i rikkärr (Punkt),,Naturahabitat,7234,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7240 Alpina,7240 Alpina,,Naturahabitat,7240,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7294 Källa i Aapamyr,7294 Källa i Aapamyr,,Naturahabitat,7294,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7295 Källkärr i Aapamyr,7295 Källkärr i Aapamyr,,Naturahabitat,7295,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7296 Rikkärr i Aapamyr,7296 Rikkärr i Aapamyr,,Naturahabitat,7296,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7297 Rikärrskälla i Aapamyr,7297 Rikärrskälla i Aapamyr,,Naturahabitat,7297,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7298 Öppen myr i Aapamyr,7298 Öppen myr i Aapamyr,,Naturahabitat,7298,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7310 Strängflarkkärr/blandmyr,7310 Strängflarkkärr/blandmyr,,Naturahabitat,7310,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7311 Kalktuffkälla i Aapamyr,7311 Kalktuffkälla i Aapamyr,,Naturahabitat,7311,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7318 Skogsbevuxen myr i Aapamyr,7318 Skogsbevuxen myr i Aapamyr,,Naturahabitat,7318,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
7320 Palsmyrar,7320 Palsmyrar,,Naturahabitat,7320,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8110 Silikatrasmarker,8110 Silikatrasmarker,,Naturahabitat,8110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8120 Kalkrasmarker,8120 Kalkrasmarker,,Naturahabitat,8120,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8210 Kalkbranter,8210 Kalkbranter,,Naturahabitat,8210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8220 Silikatbranter,8220 Silikatbranter,,Naturahabitat,8220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8230 Hällmarkstorräng,8230 Hällmarkstorräng,,Naturahabitat,8230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8240 Karsthällmarker,8240 Karsthällmarker,,Naturahabitat,8240,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
8340 Glaciärer,8340 Glaciärer,,Naturahabitat,8340,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
"9007 Taiga, barrsumpskog","9007 Taiga, barrsumpskog",,Naturahabitat,9007,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
"9009 Taiga, naturlig störning","9009 Taiga, naturlig störning",,Naturahabitat,9009,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9010 Taiga,9010 Taiga,,Naturahabitat,9010,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9020 Nordlig ädellövskog,9020 Nordlig ädellövskog,,Naturahabitat,9020,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9030 Landhöjningsskog,9030 Landhöjningsskog,,Naturahabitat,9030,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9040 Fjällbjörkskog,9040 Fjällbjörkskog,,Naturahabitat,9040,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9050 Näringsrik granskog,9050 Näringsrik granskog,,Naturahabitat,9050,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9060 Åsbarrskog,9060 Åsbarrskog,,Naturahabitat,9060,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9070 Trädklädd betesmark,9070 Trädklädd betesmark,,Naturahabitat,9070,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9080 Lövsumpskog,9080 Lövsumpskog,,Naturahabitat,9080,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9110 Näringsfattig bokskog,9110 Näringsfattig bokskog,,Naturahabitat,9110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9130 Näringsrik bokskog,9130 Näringsrik bokskog,,Naturahabitat,9130,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9160 Näringsrik ekskog,9160 Näringsrik ekskog,,Naturahabitat,9160,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9180 Ädellövskog i branter,9180 Ädellövskog i branter,,Naturahabitat,9180,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9190 Näringsfattig ekskog,9190 Näringsfattig ekskog,,Naturahabitat,9190,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9740 Skogsbevuxen myr,9740 Skogsbevuxen myr,,Naturahabitat,9740,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9750 Svämlövskog,9750 Svämlövskog,,Naturahabitat,9750,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9760 Svämädellövskog,9760 Svämädellövskog,,Naturahabitat,9760,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9915 Trädklädda inlandsdyner,9915 Trädklädda inlandsdyner,,Naturahabitat,9915,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
9999 Icke habitat,9999 Icke habitat,,Naturahabitat,9999,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
Ag,Cladium mariscus,Halvgräs,SmaProvArt,Ag,http://www.biopix.net/search.aspx?q=Cladium%20mariscus,Cladium mariscus,Stor art,,,,,,,,,Vatten,,Dike,Kalkhällmark,,,
Almar,,Almväxter,TradBuskArt,Almar,http://sv.wikipedia.org/wiki/Almsl%C3%A4ktet,,,,Träd,,,,,,,,,,,,,
Alsikeklöver,Trifolium hybridum,Ärtväxter,SmaProvArt,Alsikeklover,https://sv.wikipedia.org/wiki/Alsikekl%C3%B6ver,Trifolium hybridum,,,,,,,,,,,,,,,,
Andmat (ej kors-),Lemna minor,Kallaväxter,SmaProvArt,Andmat,https://sv.wikipedia.org/wiki/Andmat,Lemna minor,,,,,,,,,,Vatten,,Dike,,,,
Apel,Malus sylvestris/M.domesticus,Rosväxter,TradBuskArt,Apel,http://sv.wikipedia.org/wiki/%C3%84pple,Malus sylvestris/M.domesticus,,,Träd,Bärande,,,,,,,,,,,,
Ask,,Syrenväxter,TradBuskArt,Ask,https://sv.wikipedia.org/wiki/Ask_(tr%C3%A4d),,,,Träd,,,,,,,,,,,,,
Asp,,Videväxter,TradBuskArt,Asp,https://sv.wikipedia.org/wiki/Asp_(tr%C3%A4d),,,,Träd,,,,,,,,,,,,,
Avenbok,,Björkväxter,TradBuskArt,Avenbok,https://sv.wikipedia.org/wiki/Avenbok,,,,Träd,,,,,,,,,,,,,
Back-/br-/vårförg.,Myosotis ramosissima/M. discolor/M. stricta,Strävbladiga,SmaProvArt,Back_brok_varforgatmigej,https://sv.wikipedia.org/wiki/Backf%C3%B6rg%C3%A4tmigej,Myosotis ramosissima/M. discolor/M. stricta,,,,,,,,,,,,,Kalkhällmark,,Hällmark,
Backglim,Silene nutans,Nejlikväxter,SmaProvArt,Backglim,https://sv.wikipedia.org/wiki/Backglim,Silene nutans,,,,,Gräsmark,,,,,,,,,,Hällmark,
Backklöver,Trifolium montanum,Ärtväxter,SmaProvArt,Backklover,https://sv.wikipedia.org/wiki/Backkl%C3%B6ver,Trifolium montanum,,,,,Gräsmark,,,,,,,,,,,
Backnejlika,Dianthus deltoides,Nejlikväxter,SmaProvArt,Backnejlika,https://sv.wikipedia.org/wiki/Backnejlika,Dianthus deltoides,,,,,,,,,,,,,,Artrikt,,
Backtimjan,Thymus serpyllum,Kransblommiga,SmaProvArt,Backtimjan,https://sv.wikipedia.org/wiki/Backtimjan,Thymus serpyllum,,,,,,,,,K,,,,Kalkhällmark,Artrikt,Hällmark,
Baldersbrå,Tripleurospermum inodorum,Korgblommiga,SmaProvArt,Baldersbra,https://sv.wikipedia.org/wiki/Baldersbr%C3%A5,Tripleurospermum inodorum,,,,,,,,,,,,,,,,
Benved,,Benvedsväxter,TradBuskArt,Benved,https://sv.wikipedia.org/wiki/Benved,,,,Buskar,,,,,,,,,,,,,
Berberis,,Berberisväxter,TradBuskArt,Berberis,https://sv.wikipedia.org/wiki/Berberis,,,,Buskar,Bärande,,,,,,,,,,,,
Bergglim,Silene rupestris,Nejlikväxter,SmaProvArt,Bergglim,https://sv.wikipedia.org/wiki/Bergglim,Silene rupestris,,,,,,,,,K,,,,,,Hällmark,
Bergraggmossa,Racomitrium heterostichum,Mossor,SmaProvArt,Bergraggmossa,https://sv.wikipedia.org/wiki/Bergraggmossa,Racomitrium heterostichum,,,,,,,Mossor,,,,,,,,Hällmark,
Bergslok,Melica nutans,Gräs,SmaProvArt,Bergslok,,Melica nutans,,,,,,,,,,,,,,,,
Bergsyra,Rumex acetosella,Slideväxter,SmaProvArt,Bergsyra,https://sv.wikipedia.org/wiki/Bergsyra,Rumex acetosella,,,,,,,,,K,,,,,Artrikt,Hällmark,
Bergtall,,Tallväxter,TradBuskArt,Bergtall,https://sv.wikipedia.org/wiki/Bergtall,,,,Träd,,,,,,,,,,,,,
Björkar,,Björkväxter,TradBuskArt,Bjorkar,https://sv.wikipedia.org/wiki/Bj%C3%B6rkar,,,,Träd,,,,,,,,,,,,,
Björnbrodd,,,SmaProvArt,Bjornbrodd,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Björnbär,Rubus Rubus,Rosväxter,TradBuskArt,Bjornbar,https://sv.wikipedia.org/wiki/Bj%C3%B6rnb%C3%A4r,Rubus Rubus,,,Buskar,Bärande,,,,,,,,,,,,
Blodnäva,Geranium sanguineum,Näveväxter,SmaProvArt,Blodnava,https://sv.wikipedia.org/wiki/Blodn%C3%A4va,Geranium sanguineum,,,,,Gräsmark,,,,,,,,Kalkhällmark,,Hällmark,
Blodrot,Potentilla erecta,Rosväxter,SmaProvArt,Blodrot,https://sv.wikipedia.org/wiki/Blodrot,Potentilla erecta,,,,,,,,,,,,,Kalkhällmark,,,
Blomsterlupin,Lupinus polyphyllus,Ärtväxter,SmaProvArt,Blomsterlupin,https://sv.wikipedia.org/wiki/Blomsterlupin,Lupinus polyphyllus,Stor art,,,,,,,,,,,,,,,
Blå-/gullucern,Medicago sativa subsp. sativa/falcata,Ärtväxter,SmaProvArt,Bla_gullucern,https://sv.wikipedia.org/wiki/Bl%C3%A5-/gullucern,Medicago sativa subsp. sativa/falcata,,,,,,,,,,,,,,,,
Blåbär,Vaccinium myrtillus,Ljungväxter,SmaProvArt,Blabar,https://sv.wikipedia.org/wiki/Bl%C3%A5b%C3%A4r,Vaccinium myrtillus,,,,,,,,,,,,,,,,
Blåhallon,Rubus caesius,Rosväxter,TradBuskArt,Blahallon,https://sv.wikipedia.org/wiki/Bl%C3%A5hallon,Rubus caesius,,,Buskar,Bärande,,,,,,,,,,,,
Blåklint,Centaurea cyanus,Korgblommiga,SmaProvArt,Blaklint,https://sv.wikipedia.org/wiki/Bl%C3%A5klint,Centaurea cyanus,,,,,,,,,,,,,,Artrikt,,
Blåsstarr,Carex vesicaria,Halvgräs,SmaProvArt,Blasstarr,https://sv.wikipedia.org/wiki/Bl%C3%A5sstarr,Carex vesicaria,Stor art,,,,,,,,,Vatten,,Dike,,,,
Blåsuga,Ajuga pyramidalis,Kransblommiga,SmaProvArt,Blasuga,https://sv.wikipedia.org/wiki/Bl%C3%A5suga,Ajuga pyramidalis,,,,,,,,,,,,,,,,
Blåtry,Lonicera caerulea,Kaprifolväxter,TradBuskArt,Blatry,https://sv.wikipedia.org/wiki/Bl%C3%A5try,Lonicera caerulea,,,Buskar,,,,,,,,,,,,,
Blåtåtel,Molinia caerulea,Gräs,SmaProvArt,Blatatel,https://sv.wikipedia.org/wiki/Bl%C3%A5t%C3%A5tel,Molinia caerulea,Stor art,,,,,,,,,,,,,,,
Bockrot,Pimpinella saxifraga,Flockblommiga,SmaProvArt,Bockrot,https://sv.wikipedia.org/wiki/Bockrot,Pimpinella saxifraga,,,,,,,,,,,,,,Artrikt,,
Bok,,Bokväxter,TradBuskArt,Bok,https://sv.wikipedia.org/wiki/Bok,,,,Träd,,,,,,,,,,,,,
Borsttistel,Cirsium heterophyllum,Korgblommiga,SmaProvArt,Borsttistel,https://sv.wikipedia.org/wiki/Borsttistel,Cirsium heterophyllum,Stor art,,,,,,,,,,,,,,,
Borsttåg,Juncus squarrosus,Tågväxter,SmaProvArt,Borsttag,https://sv.wikipedia.org/wiki/Borstt%C3%A5g,Juncus squarrosus,,,,,,,,,,,,,,,,
Brakved,Rhamnus frangula,Brakvedsväxter,TradBuskArt,Brakved,https://sv.wikipedia.org/wiki/Brakved,Rhamnus frangula,,,Buskar,Bärande,,,,,,,,,,,,
Brokstarr ,Carex bicolor ,,SmaProvArt,Brokstarr ,http://linnaeus.nrm.se/flora/mono/cypera/carex/carebic.html,,,,,,Gräsmark,,,,,,,,,,,
Brosklavar,Ramalina,Lavar,SmaProvArt,Brosklavar,,Ramalina,,,,,,,,Lavar,,,,,,,Hällmark,
Brudbröd,Filipendula vulgaris,Rosväxter,SmaProvArt,Brudbrod,https://sv.wikipedia.org/wiki/Brudbr%C3%B6d,Filipendula vulgaris,,,,,Gräsmark,,,,,,,,Kalkhällmark,Artrikt,Hällmark,
Brun-/nickskära,Bidens tripartita,Korgblommiga,SmaProvArt,Brunskara,https://sv.wikipedia.org/wiki/Brun-/nicksk%C3%A4ra,Bidens tripartita,,,,,,,,,,,,,,,,
Brunört,Prunella vulgaris,Kransblommiga,SmaProvArt,Brunort,https://sv.wikipedia.org/wiki/Brun%C3%B6rt,Prunella vulgaris,,,,,,,,,,,,,,,,
Brännässla,Urtica dioica,Nässelväxter,SmaProvArt,Brannassla,https://sv.wikipedia.org/wiki/Br%C3%A4nn%C3%A4ssla,Urtica dioica,Stor art,,,,,,,,,,,,,,,
Buskviol,Viola hirta,Violväxter,SmaProvArt,Buskviol,https://sv.wikipedia.org/wiki/Buskviol,Viola hirta,,,,,,,,,,,,,,,,
Cembratall,,Tallväxter,TradBuskArt,Cembratall,https://sv.wikipedia.org/wiki/Cembratall,,,,Träd,,,,,,,,,,,,,
Cikoria,Cichorium intybus,Korgblommiga,SmaProvArt,Cikoria,https://sv.wikipedia.org/wiki/Cikoria,Cichorium intybus,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Contortatall,,Tallväxter,TradBuskArt,Contortatall,https://sv.wikipedia.org/wiki/Contortatall,,,,Träd,,,,,,,,,,,,,
Cypressfläta,Hypnum cupressiforme,Mossor,SmaProvArt,Cypressflata,https://sv.wikipedia.org/wiki/Cypressfläta,Hypnum cupressiforme,,,,,,,Mossor,,,,,,,,Hällmark,
Daggkåpor (alla),Alchemilla,Rosväxter,SmaProvArt,DaggKapor,https://sv.wikipedia.org/wiki/Daggk%C3%A5por,Alchemilla,,,,,,,,,,,,,,,,
Darrgräs,Briza media,Gräs,SmaProvArt,Darrgras,https://sv.wikipedia.org/wiki/Darrgr%C3%A4s,Briza media,,,,,Gräsmark,,,,,,,,Kalkhällmark,Artrikt,,
Druvfläder,Sambucus racemosa,Desmeknoppsväxter,TradBuskArt,Druvflader,https://sv.wikipedia.org/wiki/Druvfl%C3%A4der,Sambucus racemosa,,,Buskar,Bärande,,,,,,,,,,,,
Duv-/sparvvicker,Vicia hirsuta/V. tetrasperma,Ärtväxter,SmaProvArt,Duv_sparvvicker,https://sv.wikipedia.org/wiki/Duv-/sparvvicker,Vicia hirsuta/V. tetrasperma,,,,,,,,,,,,,Kalkhällmark,,,
Dvärgbjörk,,Björkväxter,TradBuskArt,Dvargbjork,https://sv.wikipedia.org/wiki/Dv%C3%A4rgbj%C3%B6rk,,,,Buskar,,,,,,,,,,,,,
Dvärglummer,,,SmaProvArt,Dvarglummer,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Dyblad,Hydrocharis morsus-ranae,Dybladsväxter,SmaProvArt,Dyblad,https://sv.wikipedia.org/wiki/Dyblad,Hydrocharis morsus-ranae,,,,,,,,,,Vatten,,Dike,,,,
Dån (alla),Galeopsis,Kransblommiga,SmaProvArt,Dan,https://sv.wikipedia.org/wiki/D%C3%A5nsl%C3%A4ktet,Galeopsis,,,,,,,,,,,,,,,,
Döda barrträd,,Döda,TradBuskArt,Barrtrad_doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Träd,,,,,,,,,,,,,
Döda lövbuskar,,Döda,TradBuskArt,Lovbuskar_doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Buskar,,,,,,,,,,,,,
Döda lövträd,,Döda,TradBuskArt,Lovtrad_doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Träd,,,,,,,,,,,,,
Ekar,,Bokväxter,TradBuskArt,Ekar,https://sv.wikipedia.org/wiki/Ekar,,,,Träd,,,,,,,,,,,,,
Ekbräken,Gymnocarpium dryopteris,Stenbräkenväxter,SmaProvArt,Ekbraken,https://sv.wikipedia.org/wiki/Ekbr%C3%A4ken,Gymnocarpium dryopteris,,,,,,,,,,,,,,,,
Ekorrbär,Maianthemum bifolium,Sparrisväxter,SmaProvArt,Ekorrbar,https://sv.wikipedia.org/wiki/Ekorrb%C3%A4r,Maianthemum bifolium,,,,,,,,,,,,,,,,
"En, död",,Döda,TradBuskArt,En_dod,http://images.fineartamerica.com/images-medium-5/twisted-juniper-tree-at-dead-horse-point-alex-cassels.jpg,,,,Buskar,,,,,,,,,,,,,
"En, levande",,Cypressväxter,TradBuskArt,En,https://sv.wikipedia.org/wiki/En,,,,Buskar,,,,,,,,,,,,,
Enbjörnmossa,Polytrichum juniperinum,Mossor,SmaProvArt,Enbjornmossa,https://sv.wikipedia.org/wiki/Enbj%C3%B6rnmossa,Polytrichum juniperinum,,,,,,,Mossor,,,,,,,,,
Enlav,Vulpicida juniperinus,Lavar,SmaProvArt,Enlav,,,,,,,,,,,,,,,Kalkhällmark,,,
Fackelblomster,Lythrum salicaria,Fackelblomsväxter,SmaProvArt,Fackelblomster,https://sv.wikipedia.org/wiki/Fackelblomster,Lythrum salicaria,,,,,,,,,,,,,,,,
Femfingerört,Potentilla argentea,Rosväxter,SmaProvArt,Femfingerort,https://sv.wikipedia.org/wiki/Femfinger%C3%B6rt,Potentilla argentea,,,,,,,,,K,,,,Kalkhällmark,Artrikt,Hällmark,
Filtlavar övriga,Peltigera,Lavar,SmaProvArt,Filtlavar_ovriga,,Peltigera,,,,,,,,Lavar,,,,,,,Hällmark,
Fintrå. grönalger,Cladophora ,Grönalger,SmaProvArt,Gronalger_fintradiga,https://sv.wikipedia.org/wiki/Gr%C3%B6nalger,Cladophora ,,,,,,,,,,Vatten,,Dike,,,,
Fjällig svavellav,Fulgensia bracteata,Lavar,SmaProvArt,Fjallig_svavellav,,,,,,,,,,,,,,,Kalkhällmark,,,
Flaskstarr,Carex rostrata,Halvgräs,SmaProvArt,Flaskstarr,https://sv.wikipedia.org/wiki/Flaskstarr/bl%C3%A5starr,Carex rostrata,Stor art,,,,,,,,,Vatten,,Dike,,,,
Flentimotej,Phleum phleoides,Gräs,SmaProvArt,Flentimotej,https://sv.wikipedia.org/wiki/Flentimotej,Phleum phleoides,,,,,Gräsmark,,,,,,,,Kalkhällmark,,,
Flockfibbla,Hieracium umbellatum,Korgblommiga,SmaProvArt,Flockfibbla,https://sv.wikipedia.org/wiki/Flockfibbla,Hieracium umbellatum,,,,,,,,,,,,,,,,
Flugblomster,,,SmaProvArt,Flugblomster,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Fläder,Sambucus nigra,Desmeknoppsväxter,TradBuskArt,Flader,https://sv.wikipedia.org/wiki/Fl%C3%A4der,Sambucus nigra,,,Buskar,Bärande,,,,,,,,,,,,
Främ. Picea,,Tallväxter,TradBuskArt,Picea,https://sv.wikipedia.org/wiki/Picea,,,,Träd,,,,,,,,,,,,,
Fyrkantig johannesört,Hypericum maculatum,Johannesörtsväxter,SmaProvArt,Fyrkantig_johannesort,https://sv.wikipedia.org/wiki/Fyrkantig_johannes%C3%B6rt,Hypericum maculatum,,,,,,,,,,,,,Kalkhällmark,,Hällmark,
Fårsvingel,Festuca ovina,Gräs,SmaProvArt,Farsvingel,https://sv.wikipedia.org/wiki/F%C3%A5rsvingel,Festuca ovina,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Fält-/vårveronika,Veronica arvensis/V. verna,Grobladsväxter,SmaProvArt,Falt_varveronika,http://linnaeus.nrm.se/flora/di/scrophularia/veron/veroarv.html,Veronica arvensis/V. verna,,,,,,,,,K,,,,Kalkhällmark,,Hällmark,
