version,0.022,,,,,,,,,,,,,Lavar,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_Vatten,P_Kalk,P_Dike,P_Kalkhällmark,P_Artrikt,P_Hällmark,P_naturahabitat
2320 Rissandhedar,2320 Rissandhedar,,Naturahabitat,2320,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
2330 Grässandhedar,2330 Grässandhedar,,Naturahabitat,2330,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
3210 Större vattendrag,3210 Större vattendrag,,Naturahabitat,3210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
3220 Alpina vattendrag,3220 Alpina vattendrag,,Naturahabitat,3220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
4010 Fukthedar,4010 Fukthedar,,Naturahabitat,4010,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
4030 Torra hedar,4030 Torra hedar,,Naturahabitat,4030,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
4060 Alpina rishedar,4060 Alpina rishedar,,Naturahabitat,4060,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
4080 Alpina videbuskmarker,4080 Alpina videbuskmarker,,Naturahabitat,4080,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
5131 Enbuskmark på hed,5131 Enbuskmark på hed,,Naturahabitat,5131,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
5132 Enbuskmark på kalkgräsmark,5132 Enbuskmark på kalkgräsmark,,Naturahabitat,5132,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,Naturahabitat
